

White Brain
{::::A:PP:P:A:A::}: x 2, y 1, X 3, Y 2, V 3, u 1
{PPP:.A...:.:A:PA}: x 0, y 0, X 1, Y 1, V -9223372036854775808, u 6
{PPP:.A...:.:A:PA}: x 2, y 0, X 2, Y 1, V -9223372036854775808, u 1
{PPP:.A...:.:A:PA}: x 2, y 0, X 2, Y 2, V -9223372036854775808, u 3
{PPP:.A.A...:A:P:}: x 0, y 0, X 0, Y 2, V -9223372036854775808, u 2
{PPP:A......P:AAA}: x 2, y 0, X 2, Y 1, V -9223372036854775808, u 2
{PPP:A....A.:::PA}: x 2, y 0, X 2, Y 1, V 4, u 1
{PPPP........AAAA}: x 3, y 0, X 3, Y 2, V -9223372036854775808, u 39664
{PPPP........AAAA}: x 0, y 0, X 0, Y 1, V -9223372036854775808, u 2
{PPPP........AAAA}: x 0, y 0, X 0, Y 2, V -9223372036854775808, u 1
{PPPP........AAAA}: x 1, y 0, X 1, Y 1, V -9223372036854775808, u 2
{PPPP........AAAA}: x 1, y 0, X 1, Y 2, V -9223372036854775808, u 5
{PPPP........AAAA}: x 2, y 0, X 2, Y 1, V -9223372036854775808, u 1
{PPPP........AAAA}: x 2, y 0, X 2, Y 2, V -9223372036854775808, u 1
{PPPP........AAAA}: x 3, y 0, X 3, Y 1, V -9223372036854775808, u 1
{PPPP..A.....AA:A}: x 1, y 0, X 2, Y 1, V 4, u 1

1 1 39587:67  +++ White wins


Black Brain
{::::.:PPAP:A:A::}: x 0, y 2, X 0, Y 1, V -9223372036854775808, u 1
{::::.A..PAA:::P:}: x 1, y 1, X 1, Y 0, V 3, u 1
{::::.PA.:.:P::AA}: x 2, y 1, X 2, Y 0, V 3, u 1
{:::::.PAP:A.:A::}: x 3, y 1, X 3, Y 0, V -9223372036854775808, u 1
{:::::AP.P..P:::A}: x 1, y 1, X 1, Y 0, V 2, u 1
{:::::APAPA.:::P:}: x 3, y 1, X 3, Y 0, V -9223372036854775808, u 1
